"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2011","2011",62.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2012","2012",66.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2013","2013",68.7,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2014","2014",65.5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2015","2015",64.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2016","2016",70.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2017","2017",63.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2018","2018",66.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2019","2019",66.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2020","2020",68.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2021","2021",68.9,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2022","2022",68.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","3_LUNCH_HOME","pranzo in casa","HSC","per 100 persone con le stesse caratteristiche","2023","2023",65.8,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1993","1993",154,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1994","1994",214,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1995","1995",206,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1996","1996",264,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1997","1997",240,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1998","1998",178,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","1999","1999",189,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2000","2000",169,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2001","2001",212,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2002","2002",218,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2003","2003",233,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2005","2005",249,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2006","2006",231,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2007","2007",276,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2008","2008",264,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2009","2009",251,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2010","2010",280,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2011","2011",292,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2012","2012",256,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2013","2013",255,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2014","2014",289,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2015","2015",269,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2016","2016",301,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2017","2017",243,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2018","2018",177,,
"ITE4","Lazio","3_LUNCH_CAF","pranzo al bar","THV","valori in migliaia","2019","2019",193,,
